date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:28:00	31608/31608	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9aecf-7b78%22	https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/charts/chartjs.html	C:/Users/DELL/Documents/template%20projet/Template%20Portail%20web%202/demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/charts/chartjs.html	(from https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/index.html)
16:28:00	31152/31152	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9aecf-79b0%22	https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/charts/morris.html	C:/Users/DELL/Documents/template%20projet/Template%20Portail%20web%202/demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/charts/morris.html	(from https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/index.html)
16:28:01	32536/32536	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9aecf-7f18%22	https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/charts/flot-chart.html	C:/Users/DELL/Documents/template%20projet/Template%20Portail%20web%202/demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/charts/flot-chart.html	(from https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/index.html)
16:28:01	32363/32363	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9aecf-7e6b%22	https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/charts/google-charts.html	C:/Users/DELL/Documents/template%20projet/Template%20Portail%20web%202/demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/charts/google-charts.html	(from https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/index.html)
16:28:01	31512/31512	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9aecf-7b18%22	https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/charts/sparkline.html	C:/Users/DELL/Documents/template%20projet/Template%20Portail%20web%202/demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/charts/sparkline.html	(from https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/index.html)
16:28:01	31740/31740	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9aecf-7bfc%22	https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/charts/c3.html	C:/Users/DELL/Documents/template%20projet/Template%20Portail%20web%202/demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/charts/c3.html	(from https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/index.html)
16:28:01	32027/32027	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9aecf-7d1b%22	https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/charts/chartist.html	C:/Users/DELL/Documents/template%20projet/Template%20Portail%20web%202/demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/charts/chartist.html	(from https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/index.html)
16:28:02	32547/32547	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9aecf-7f23%22	https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/charts/justGage.html	C:/Users/DELL/Documents/template%20projet/Template%20Portail%20web%202/demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/charts/justGage.html	(from https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/index.html)
16:28:02	56693/56693	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9aecf-dd75%22	https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/tables/basic-table.html	C:/Users/DELL/Documents/template%20projet/Template%20Portail%20web%202/demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/tables/basic-table.html	(from https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/index.html)
16:28:02	37025/37025	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9aecf-90a1%22	https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/tables/data-table.html	C:/Users/DELL/Documents/template%20projet/Template%20Portail%20web%202/demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/tables/data-table.html	(from https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/index.html)
